"dwel";"y";"h";"lco2";"n"
"17367";0;0;0.523598775598299;7.12135341745282;1
"17368";0;0;0.523598775598299;7.12261461070865;1
"17369";0;0;0.523598775598299;7.12261461070865;1
"17370";0;0;0.523598775598299;7.07167947063638;1
"17371";0;0;0.523598775598299;7.0973420467675;1
"17372";0;0;0.523598775598299;7.12261461070865;1
"17373";0;0;0.785398163397448;7.14701821217623;1
"17374";0;0;0.785398163397448;7.19316915602247;1
"17375";0;0;0.785398163397448;7.19199392965616;1
"17376";0;0;0.785398163397448;7.19199392965616;1
"17377";0;0;0.785398163397448;7.19199392965616;1
"17378";0;0;0.785398163397448;7.21478031427705;1
"17379";0;0;1.0471975511966;7.23615934095384;1
"17380";0;0;1.0471975511966;7.21478031427705;1
"17381";0;0;1.0471975511966;7.25907214401933;1
"17382";0;0;1.0471975511966;7.25907214401933;1
"17383";0;0;1.0471975511966;7.25907214401933;1
"17384";0;0;1.0471975511966;7.25907214401933;1
"17385";0;0;1.30899693899575;7.25797191285982;1
"17386";0;0;1.30899693899575;7.25797191285982;1
"17387";0;0;1.30899693899575;7.30043061216191;1
"17388";0;0;1.30899693899575;7.25797191285982;1
"17389";0;0;1.30899693899575;7.07300485187744;1
"17390";0;0;1.30899693899575;7.07167947063638;1
"17391";0;0;1.5707963267949;6.93457976385854;1
"17392";0;0;1.5707963267949;7.0464296736699;1
"17393";0;0;1.5707963267949;7.0464296736699;1
"17394";0;0;1.5707963267949;7.16987912993723;1
"17395";0;0;1.5707963267949;7.23728382100036;1
"17396";0;0;1.5707963267949;7.23728382100036;1
"17397";0;0;1.83259571459405;7.25797191285982;1
"17398";0;0;1.83259571459405;7.23728382100036;1
"17399";0;0;1.83259571459405;7.23615934095384;1
"17400";0;0;1.83259571459405;7.32110588136429;1
"17401";0;0;1.83259571459405;7.32110588136429;1
"17402";0;0;1.83259571459405;7.34014627641845;1
"17403";0;0;2.0943951023932;7.3600244532881;1
"17404";0;0;2.0943951023932;7.3600244532881;1
"17405";0;0;2.0943951023932;7.30043061216191;1
"17406";0;0;2.0943951023932;7.19316915602247;1
"17407";0;0;2.0943951023932;6.9642537528874;1
"17408";0;1;2.0943951023932;6.77600800815112;1
"17469";0;0;4.97418836818384;6.05429262189085;1
"17470";0;0;4.97418836818384;6.12372560194502;1
"17471";0;0;4.97418836818384;6.12029741895095;1
"17472";0;0;4.97418836818384;6.12372560194502;1
"17473";0;0;4.97418836818384;6.12372560194502;1
"17474";0;0;4.97418836818384;6.12029741895095;1
"17475";0;0;5.23598775598299;6.12029741895095;1
"17476";0;0;5.23598775598299;6.12372560194502;1
"17477";0;0;5.23598775598299;6.05429262189085;1
"17478";0;0;5.23598775598299;6.05429262189085;1
"17479";0;0;5.23598775598299;6.12029741895095;1
"17480";0;0;5.23598775598299;6.12029741895095;1
"17481";0;0;5.49778714378214;6.12029741895095;1
"17482";0;0;5.49778714378214;6.12372560194502;1
"17483";0;0;5.49778714378214;6.05429262189085;1
"17484";0;0;5.49778714378214;6.05429262189085;1
"17485";0;0;5.49778714378214;6.05429262189085;1
"17486";0;0;5.49778714378214;6.05429262189085;1
"17487";0;0;5.75958653158129;6.05429262189085;1
"17488";0;0;5.75958653158129;6.05429262189085;1
"17489";0;0;5.75958653158129;6.05429262189085;1
"17490";0;0;5.75958653158129;6.12372560194502;1
"17491";0;0;5.75958653158129;6.18608001480765;1
"17492";0;0;5.75958653158129;6.35708374666895;1
"17493";0;0;6.02138591938044;6.40677684543697;1
"17494";0;0;6.02138591938044;6.58918435349661;1
"17495";0;0;6.02138591938044;6.74192203969298;1
"17496";0;0;6.02138591938044;6.90587851896928;1
"17497";0;0;6.02138591938044;6.90587851896928;1
"17498";0;0;6.02138591938044;7.01940845426298;1
"17499";0;0;0;7.0464296736699;1
"17500";0;0;0;7.07300485187744;1
"17501";0;0;0;7.12261461070865;1
"17502";0;0;0;7.19316915602247;1
"17503";0;0;0;7.19316915602247;1
"17504";0;0;0;7.19316915602247;1
"17505";0;0;0.261799387799149;7.21478031427705;1
"17506";0;0;0.261799387799149;7.27953432943549;1
"17507";0;0;0.261799387799149;7.23615934095384;1
"17508";0;0;0.261799387799149;7.07167947063638;1
"17509";0;0;0.261799387799149;6.9642537528874;1
"17510";0;0;0.261799387799149;6.9642537528874;1
"17511";0;0;0.523598775598299;7.01940845426298;1
"17512";0;0;0.523598775598299;7.07167947063638;1
"17513";0;0;0.523598775598299;7.0973420467675;1
"17514";0;0;0.523598775598299;7.12261461070865;1
"17515";0;0;0.523598775598299;7.12261461070865;1
"17516";0;0;0.523598775598299;7.1457874427901;1
"17517";0;0;0.785398163397448;7.21478031427705;1
"17518";0;0;0.785398163397448;7.21478031427705;1
"17519";0;0;0.785398163397448;7.21478031427705;1
"17520";0;0;0.785398163397448;7.21478031427705;1
"17521";0;0;0.785398163397448;7.21478031427705;1
"17522";0;0;0.785398163397448;7.19199392965616;1
"17523";0;0;1.0471975511966;7.23728382100036;1
"17524";0;0;1.0471975511966;7.23728382100036;1
"17525";0;0;1.0471975511966;7.25797191285982;1
"17526";0;0;1.0471975511966;7.27953432943549;1
"17527";0;0;1.0471975511966;7.25797191285982;1
"17528";0;0;1.0471975511966;7.25797191285982;1
"17529";0;0;1.30899693899575;7.27953432943549;1
"17530";0;0;1.30899693899575;7.25797191285982;1
"17531";0;0;1.30899693899575;7.25797191285982;1
"17532";0;0;1.30899693899575;7.25797191285982;1
"17533";0;0;1.30899693899575;7.27953432943549;1
"17534";0;0;1.30899693899575;7.25797191285982;1
"17535";0;0;1.5707963267949;7.3600244532881;1
"17536";0;0;1.5707963267949;7.37932018879482;1
"17537";0;0;1.5707963267949;7.32110588136429;1
"17538";0;0;1.5707963267949;7.34014627641845;1
"17539";0;0;1.5707963267949;7.3600244532881;1
"17540";0;0;1.5707963267949;7.34014627641845;1
"17541";0;0;1.83259571459405;7.41607777253001;1
"17542";0;0;1.83259571459405;7.41607777253001;1
"17543";0;0;1.83259571459405;7.43359266036857;1
"17544";0;0;1.83259571459405;7.34014627641845;1
"17545";0;0;1.83259571459405;6.99134936534626;1
"17546";0;0;1.83259571459405;6.81034915421895;1
"17547";0;0;2.0943951023932;6.74192203969298;1
"17548";0;1;2.0943951023932;6.84388320238773;1
"17583";0;0;3.66519142918809;6.18608001480765;1
"17584";0;0;3.66519142918809;6.18608001480765;1
"17585";0;0;3.66519142918809;6.18608001480765;1
"17586";0;0;3.66519142918809;6.18608001480765;1
"17587";0;0;3.66519142918809;6.12029741895095;1
"17588";0;0;3.66519142918809;6.12372560194502;1
"17589";0;0;3.92699081698724;6.12029741895095;1
"17590";0;0;3.92699081698724;6.12372560194502;1
"17591";0;0;3.92699081698724;6.12029741895095;1
"17592";0;0;3.92699081698724;6.12029741895095;1
"17593";0;0;3.92699081698724;6.12372560194502;1
"17594";0;0;3.92699081698724;6.12372560194502;1
