"room";"start";"end";"weekday";"hour";"presence";"time";"censor"
"239";"4202";2015-05-12 18:16:21;2015-05-12 20:46:21;"Tuesday";18.2666666666667;0;2.5;1
"240";"4202";2015-05-13 05:01:21;2015-05-13 16:46:21;"Wednesday";5.01666666666667;0;11.75;0
"242";"4202";2015-05-13 18:01:21;2015-05-13 20:46:21;"Wednesday";18.0166666666667;0;2.75;1
"243";"4202";2015-05-14 05:01:21;2015-05-14 07:31:21;"Thursday";5.01666666666667;0;2.5;0
"245";"4202";2015-05-14 08:31:21;2015-05-14 09:31:21;"Thursday";8.51666666666667;0;1;0
"247";"4202";2015-05-14 10:01:21;2015-05-14 11:46:21;"Thursday";10.0166666666667;0;1.75;0
"249";"4202";2015-05-14 14:01:21;2015-05-14 20:46:21;"Thursday";14.0166666666667;0;6.75;1
"250";"4202";2015-05-15 05:01:21;2015-05-15 13:01:21;"Friday";5.01666666666667;0;8;0
"252";"4202";2015-05-15 14:01:21;2015-05-15 16:01:21;"Friday";14.0166666666667;0;2;0
"254";"4202";2015-05-15 16:31:21;2015-05-15 20:46:21;"Friday";16.5166666666667;0;4.25;1
"257";"4202";2015-05-18 05:01:21;2015-05-18 20:46:21;"Monday";5.01666666666667;0;15.75;1
"258";"4202";2015-05-19 05:01:21;2015-05-19 09:46:21;"Tuesday";5.01666666666667;0;4.75;0
"260";"4202";2015-05-19 13:46:21;2015-05-19 15:31:21;"Tuesday";13.7666666666667;0;1.75;0
"262";"4202";2015-05-19 16:31:21;2015-05-19 20:46:21;"Tuesday";16.5166666666667;0;4.25;1
"263";"4202";2015-05-20 05:01:21;2015-05-20 09:01:21;"Wednesday";5.01666666666667;0;4;0
"265";"4202";2015-05-20 12:01:21;2015-05-20 13:46:21;"Wednesday";12.0166666666667;0;1.75;0
"267";"4202";2015-05-20 15:16:21;2015-05-20 15:31:21;"Wednesday";15.2666666666667;0;0.25;0
"269";"4202";2015-05-20 16:46:21;2015-05-20 20:46:21;"Wednesday";16.7666666666667;0;4;1
"270";"4202";2015-05-21 05:01:21;2015-05-21 07:31:21;"Thursday";5.01666666666667;0;2.5;0
"272";"4202";2015-05-21 08:01:21;2015-05-21 20:46:21;"Thursday";8.01666666666667;0;12.75;1
"273";"4202";2015-05-22 05:01:21;2015-05-22 10:31:21;"Friday";5.01666666666667;0;5.5;0
"275";"4202";2015-05-22 11:46:21;2015-05-22 12:01:21;"Friday";11.7666666666667;0;0.25;0
